Summary,Issue Type,Priority,Description,Labels
[EPIC] Administración del sistema,Epic,Highest,"CRUD completo para gestión de la clínica: usuarios, roles, configuración y accesos.",admin
[ADM] Crear tipos y schema Zod para perfiles de usuario,Task,Highest,"Interfaz Profile con campos: id, clinic_id, nombre, email, rol (admin/veterinario/recepcionista/auxiliar), activo.",admin backend
[ADM] Crear servicio profiles.service.ts,Task,Highest,"getProfiles, getProfileById, createProfile, updateProfile, deactivateProfile usando Supabase client.",admin backend
[ADM] Server actions para usuarios,Task,Highest,"createUserAction (crea en Supabase Auth + inserta en profiles), updateProfileAction, deactivateUserAction con revalidatePath.",admin backend
[ADM] Hook useCurrentProfile,Task,High,"Hook client-side que carga el perfil del usuario autenticado y lo persiste en Zustand al iniciar sesión.",admin frontend
[ADM] Tabla de usuarios con roles,Task,High,"UsersTable con TanStack Table: columnas nombre, email, rol, estado activo/inactivo. Búsqueda y filtro por rol.",admin frontend
[ADM] Formulario crear usuario,Task,High,"UserForm para crear: nombre, email, rol (select), contraseña temporal. Validación con Zod.",admin frontend
[ADM] Formulario editar usuario,Task,High,"UserForm para editar: nombre, rol. No permite cambiar email. Opción de resetear contraseña.",admin frontend
[ADM] Dialog confirmar desactivación de usuario,Task,Medium,"Alerta antes de desactivar con mensaje de impacto en citas y registros asignados.",admin frontend
[ADM] Middleware de permisos por rol,Task,Highest,"Función checkPermission(role, module, action): define acceso por rol. Redirige si no autorizado.",admin seguridad
[ADM] HOC withRoleGuard para páginas,Task,High,"Higher-order component que valida el rol antes de renderizar. Redirige a /unauthorized si no tiene acceso.",admin seguridad
[ADM] Hook usePermissions para UI,Task,High,"Hook: canCreate, canEdit, canDelete, canExport por módulo. Oculta botones según rol automáticamente.",admin frontend
[ADM] Página de perfil propio /profile,Task,Medium,"Ver y editar nombre propio, cambiar contraseña. Foto de perfil con upload a Storage.",admin frontend
[ADM] Página /users (solo admin),Task,Medium,"Vista completa de gestión de usuarios con tabla, crear, editar, desactivar.",admin frontend
[ADM] Tests de permisos por rol,Task,Medium,"Tests unitarios para checkPermission con todos los roles y módulos del sistema.",admin testing
[EPIC] Registro de Clientes,Epic,Highest,"CRUD completo para propietarios de mascotas con vista detalle y exportación.",clientes
[CLI] Crear tipos y schema Zod para clientes,Task,Highest,"Interfaz Client: id, clinic_id, nombre, documento, telefono, email, direccion, created_at. Schema de validación.",clientes backend
[CLI] Crear servicio clients.service.ts,Task,Highest,"getClients, getClientById, searchClients, createClient, updateClient, deleteClient con Supabase.",clientes backend
[CLI] Server actions para clientes,Task,Highest,"createClientAction, updateClientAction, deleteClientAction con revalidatePath /clients.",clientes backend
[CLI] Hook useClients con búsqueda,Task,High,"Hook con estado loading, error, refetch. Filtro por nombre, documento y teléfono.",clientes frontend
[CLI] Tabla ClientsTable con TanStack Table,Task,High,"Columnas: nombre, documento, teléfono, email, mascotas (count), registrado. Búsqueda global, ordenamiento, paginación 15 por página.",clientes frontend
[CLI] Selección múltiple de filas,Task,Medium,"Checkbox por fila y seleccionar todo. Estado de selección para exportación parcial.",clientes frontend
[CLI] Formulario ClientForm,Task,High,"Campos: nombre completo, documento, teléfono, email, dirección. Validación Zod + React Hook Form.",clientes frontend
[CLI] Dialog crear/editar cliente,Task,High,"ClientDialog reutilizable para crear y editar con ClientForm interno. Toast de éxito/error.",clientes frontend
[CLI] Dialog confirmar eliminación,Task,High,"DeleteClientDialog: advertencia de eliminación en cascada de mascotas e historias clínicas.",clientes frontend
[CLI] Vista detalle de cliente /clients/[id],Task,High,"ClientDetailView: datos personales, lista de mascotas del cliente, historial de facturas, botón nueva cita.",clientes frontend
[CLI] Exportación Excel: todos filtrados seleccionados,Task,Medium,"Dropdown exportar: todos los registros, filtrados o seleccionados. Archivo con headers profesionales.",clientes frontend
[CLI] Tests unitarios schema de cliente,Task,Low,"Tests para validaciones del schema: email vacío permitido, documento mínimo, teléfono mínimo.",clientes testing
[EPIC] Registro de Mascotas,Epic,Highest,"CRUD completo para mascotas vinculadas a propietarios, con foto y ficha clínica resumida.",mascotas
[PET] Crear tipos y schema Zod para mascotas,Task,Highest,"Interfaz Pet: id, clinic_id, owner_id, nombre, especie, raza, sexo, color, peso, fecha_nacimiento, microchip, foto. Schema de validación.",mascotas backend
[PET] Crear servicio pets.service.ts,Task,Highest,"getPets, getPetById, getPetsByOwner, searchPets, createPet, updatePet, deletePet.",mascotas backend
[PET] Server actions para mascotas,Task,Highest,"createPetAction, updatePetAction, deletePetAction con revalidatePath.",mascotas backend
[PET] Upload de foto a Supabase Storage,Task,High,"Servicio uploadPetPhoto: subir imagen al bucket pet-photos, retornar URL pública. Validar tipo y tamaño máx 2MB.",mascotas backend
[PET] Hook usePets y usePetsByOwner,Task,High,"Hook global y filtrado por owner_id con loading, error y refetch.",mascotas frontend
[PET] Formulario PetForm con selector de propietario,Task,Highest,"Campos: nombre, especie (select), raza, sexo, color, peso, fecha nacimiento, microchip. Selector de propietario con búsqueda.",mascotas frontend
[PET] Upload de foto en PetForm,Task,High,"Input de archivo con preview de imagen. Subir a Storage al guardar. Mostrar foto actual al editar.",mascotas frontend
[PET] Cálculo automático de edad,Task,Medium,"Función calcPetAge(fecha_nacimiento): retorna 'X años Y meses' o 'X meses' si es cachorro.",mascotas frontend
[PET] Tabla PetsTable con filtros,Task,High,"Columnas: foto, nombre, especie, raza, propietario, edad, acciones. Filtro por especie y búsqueda.",mascotas frontend
[PET] Dialog crear/editar mascota,Task,High,"PetDialog reutilizable. Al crear desde /clients/[id] pre-llena owner_id.",mascotas frontend
[PET] Dialog confirmar eliminación de mascota,Task,Medium,"Advertencia de eliminación de historial clínico, vacunas y hospitalizaciones asociadas.",mascotas frontend
[PET] Vista detalle /pets/[id],Task,Highest,"PetDetailView: foto, ficha completa, propietario (con enlace), resumen últimas 3 consultas, vacunas vigentes, estado hospitalización, botones: nueva cita, nueva consulta, vacunar.",mascotas frontend
[PET] Exportación Excel de mascotas,Task,Medium,"Exportar con headers: Nombre, Especie, Raza, Propietario, Microchip, Edad, Fecha registro.",mascotas frontend
[PET] Tests unitarios mascotas,Task,Low,"Tests para schema y función calcPetAge.",mascotas testing
[EPIC] Expediente Clínico Digital,Epic,Highest,"Historia clínica completa: consultas cronológicas, adjuntos (imágenes, PDF, exámenes, radiografías). Módulo principal del sistema.",historia-clinica
[HC] Crear tipos y schema para historia clínica,Task,Highest,"Interfaz MedicalRecord y MedicalRecordAttachment. Schema con motivo, síntomas, diagnóstico, tratamiento, observaciones.",historia-clinica backend
[HC] Crear servicio medical-records.service.ts,Task,Highest,"getMedicalRecordsByPet, getMedicalRecordsByVet, getMedicalRecordsByOwner, getMedicalRecordsByDateRange, getById, create, update, delete.",historia-clinica backend
[HC] Server actions historia clínica,Task,Highest,"createMedicalRecordAction, updateMedicalRecordAction, deleteMedicalRecordAction.",historia-clinica backend
[HC] Servicio de adjuntos con Supabase Storage,Task,High,"uploadAttachment: validar tipo (imagen/PDF) y tamaño. Guardar en bucket medical-records. deleteAttachment elimina de Storage y BD.",historia-clinica backend
[HC] Formulario MedicalRecordForm,Task,Highest,"Campos: motivo de consulta, síntomas, diagnóstico, tratamiento, observaciones. Textareas con contador de caracteres.",historia-clinica frontend
[HC] Componente AttachmentUploader,Task,High,"Drag & drop de archivos. Preview de imágenes. Lista de adjuntos con nombre, tipo, botón eliminar. Soporta: JPG, PNG, PDF.",historia-clinica frontend
[HC] Vista cronológica del historial,Task,Highest,"MedicalRecordTimeline: cards ordenadas por fecha descendente. Cada card: fecha, veterinario, motivo, diagnóstico resumido, ícono de adjuntos.",historia-clinica frontend
[HC] Dialog detalle de consulta,Task,High,"Ver todos los campos de la consulta, galería de adjuntos con preview, botón descargar cada archivo.",historia-clinica frontend
[HC] Dialog crear/editar consulta,Task,High,"MedicalRecordDialog con formulario y AttachmentUploader integrados en un solo modal.",historia-clinica frontend
[HC] Búsqueda y filtros en historial,Task,High,"Filtrar por veterinario, rango de fechas, diagnóstico (texto libre). Buscar en todas las historias desde /medical-records.",historia-clinica frontend
[HC] Flujo cita atendida → crear consulta,Task,Highest,"Desde cita con estado 'atendida', botón 'Registrar consulta' pre-llena pet_id y veterinarian_id. Al guardar historia actualiza estado de la cita.",historia-clinica flujo
[HC] Exportación Excel historial clínico,Task,High,"Exportar por mascota, por veterinario, por propietario o por rango de fechas. Headers: Mascota, Fecha, Veterinario, Motivo, Diagnóstico, Tratamiento.",historia-clinica frontend
[HC] Tests unitarios historia clínica,Task,Low,"Tests para schema y validación de adjuntos permitidos.",historia-clinica testing
[EPIC] Recetas Médicas en PDF,Epic,High,"Generación de recetas médicas digitales con plantilla profesional, descarga e impresión en PDF.",recetas
[RX] Crear tipos y schema para recetas,Task,High,"Interfaz Prescription con campos: record_id, pet_id, vet_id, fecha, items (medicamento, dosis, frecuencia, duración, indicaciones).",recetas backend
[RX] Crear tabla prescriptions en Supabase,Task,High,"Tabla prescriptions y prescription_items con clinic_id, relaciones a medical_records y profiles. RLS habilitado.",recetas backend
[RX] Crear servicio prescriptions.service.ts,Task,High,"getPrescriptionsByPet, getPrescriptionById, createPrescription con items, deletePrescription.",recetas backend
[RX] Server actions para recetas,Task,High,"createPrescriptionAction, deletePrescriptionAction con revalidatePath.",recetas backend
[RX] Formulario PrescriptionForm con items dinámicos,Task,High,"Lista dinámica de medicamentos: nombre del producto, dosis, frecuencia (ej: cada 8h), duración, indicaciones especiales. Botón agregar/eliminar ítem.",recetas frontend
[RX] Selector de medicamentos desde inventario,Task,Medium,"Al escribir nombre del producto busca en inventario y pre-llena. Permite escribir manualmente si no está en stock.",recetas frontend
[RX] Template PDF de receta médica,Task,Highest,"Diseño profesional de receta: encabezado con datos de la clínica, fecha, datos del paciente (nombre, especie, raza, peso), datos del veterinario, tabla de medicamentos, pie con firma y sello.",recetas frontend
[RX] Generación y descarga de PDF,Task,Highest,"Usar @react-pdf/renderer o html2pdf.js para generar el PDF. Botón 'Descargar receta' y botón 'Imprimir'.",recetas frontend
[RX] Integrar receta en historia clínica,Task,High,"Desde el detalle de una consulta, botón 'Generar receta' abre PrescriptionForm con record_id pre-llenado.",recetas flujo
[RX] Lista de recetas por mascota,Task,Medium,"Sección en PetDetailView: historial de recetas con fecha, veterinario, ícono descargar PDF.",recetas frontend
[RX] Tests unitarios recetas,Task,Low,"Tests para schema de receta: validar que items tenga al menos 1 elemento.",recetas testing
[EPIC] Control de Vacunas y Desparasitaciones,Epic,High,"Registro de vacunas y desparasitaciones por mascota, alertas de vencimiento y panel global.",vacunas
[VAC] Crear tipos y schema para vacunas,Task,High,"Interfaz Vaccine: id, clinic_id, pet_id, tipo (vacuna/desparasitación), nombre, fecha_aplicacion, proxima_aplicacion, lote, veterinario.",vacunas backend
[VAC] Actualizar tabla vaccines en Supabase,Task,High,"Agregar columna tipo (enum: vacuna/desparasitacion) y lote a la tabla existente.",vacunas backend
[VAC] Crear servicio vaccines.service.ts,Task,High,"getVaccinesByPet, getUpcomingVaccines, getExpiredVaccines, getUpcomingDeworming, create, update, delete.",vacunas backend
[VAC] Server actions para vacunas,Task,High,"createVaccineAction, updateVaccineAction, deleteVaccineAction.",vacunas backend
[VAC] Función getVaccineAlerts,Task,High,"Retorna vacunas Y desparasitaciones que vencen en 7 días o ya vencidas. Agrupa por tipo.",vacunas backend
[VAC] Formulario VaccineForm,Task,High,"Campos: tipo (toggle vacuna/desparasitación), nombre del producto, fecha aplicación, próxima aplicación, lote. Datepicker con validación de fechas.",vacunas frontend
[VAC] Lista de vacunas por mascota,Task,High,"VaccineList separada en dos tabs: Vacunas | Desparasitaciones. Badges: vigente=verde, por vencer=amarillo, vencida=rojo.",vacunas frontend
[VAC] Panel global de próximas aplicaciones,Task,Medium,"Vista /vaccines: todas las vacunas y desparasitaciones próximas a vencer con filtro por tipo y especie.",vacunas frontend
[VAC] Exportación Excel vacunas,Task,Medium,"Exportar con headers: Mascota, Propietario, Tipo, Producto, Fecha aplicación, Próxima, Estado.",vacunas frontend
[VAC] Integrar alertas de vacunas en Dashboard,Task,Medium,"Reemplazar mock de vacunas en Dashboard con datos reales: próximas 7 días.",vacunas frontend
[VAC] Tests unitarios vacunas,Task,Low,"Tests para schema y función de cálculo de estado: vigente/por vencer/vencida.",vacunas testing
[EPIC] Calendario de Citas,Epic,Highest,"Calendario interactivo con FullCalendar para asignación, visualización y gestión de citas.",citas
[CAL] Crear tipos y schema para citas,Task,Highest,"Interfaz Appointment: pet_id, veterinarian_id, fecha_hora, motivo, estado (pendiente/confirmada/atendida/cancelada).",citas backend
[CAL] Crear servicio appointments.service.ts,Task,Highest,"getAppointments, getAppointmentsByDate, getAppointmentsByPet, getAppointmentsByVet, create, update, updateStatus, delete.",citas backend
[CAL] Validación de disponibilidad de horario,Task,High,"Función checkAvailability: verifica que el veterinario no tenga otra cita en el mismo horario.",citas backend
[CAL] Server actions para citas,Task,Highest,"createAppointmentAction, updateAppointmentAction, updateStatusAction, deleteAppointmentAction.",citas backend
[CAL] Vista calendario mensual con FullCalendar,Task,Highest,"AppointmentCalendar: vista month con eventos coloreados por estado. Clic en día para ver lista de citas.",citas frontend
[CAL] Vista semanal y diaria,Task,High,"Vistas week y day en FullCalendar. Mostrar bloques de tiempo por veterinario.",citas frontend
[CAL] Click en evento para ver detalle de cita,Task,High,"Popover o drawer al hacer clic en evento: datos completos, botones de acción de estado.",citas frontend
[CAL] Formulario AppointmentForm,Task,Highest,"Campos: mascota (búsqueda), propietario (auto-fill desde mascota), veterinario (select), fecha, hora, motivo. Validación disponibilidad.",citas frontend
[CAL] Dialog crear cita desde calendario,Task,High,"Al clic en espacio vacío del calendario abre AppointmentDialog con fecha pre-llenada.",citas frontend
[CAL] Vista lista de citas con filtros,Task,High,"AppointmentsList: filtros por estado, veterinario, fecha. Paginación. Toggle entre lista y calendario.",citas frontend
[CAL] Cambio rápido de estado de cita,Task,High,"Botones de acción: Confirmar, Marcar como atendida, Cancelar. Confirmación antes de cancelar.",citas frontend
[CAL] Badge de estado coloreado,Task,Medium,"AppointmentStatusBadge: pendiente=gris, confirmada=azul, atendida=verde, cancelada=rojo.",citas frontend
[CAL] Botón nueva cita desde ficha de mascota,Task,Medium,"En PetDetailView botón 'Agendar cita' abre AppointmentDialog con pet_id pre-llenado.",citas frontend
[CAL] Exportación Excel de citas,Task,Medium,"Exportar con headers: Mascota, Propietario, Veterinario, Fecha, Hora, Motivo, Estado.",citas frontend
[CAL] Tests unitarios citas,Task,Low,"Tests para schema y función checkAvailability.",citas testing
[EPIC] Notificaciones de Recordatorio de Citas,Epic,High,"Sistema de recordatorios automáticos de citas por email usando Supabase Edge Functions.",notificaciones
[NOT] Diseñar flujo de notificaciones,Task,High,"Definir: qué recordatorios enviar (24h antes, 2h antes), por qué canal (email), qué datos incluir.",notificaciones backend
